Reserve,Block,Treatment,Veg_Complexity,CoverLitter,CoverBare,CoverGrass,CoverForb,TotalSpecies,RichnessNoTrees,RichnessForbs,RichnessGrass,RichnessShrub,RooDung,RabbitDung,GoatDung,Orufus_perkmAS,Mgiganteus_perkmAS,Mfuliginosis_perkmAS,RooperkmsqSL,RabbitperkmsqSL,TotalkmAS,TotalkmSL,PBray1,Carbon,Nitrogen,BulkDensity_lessthan2mm,,,,
Mungo,MU4,Kangaroo_Exclusion,13.25,40.65,4.75,18.40,34.72,11,10,6,3,1,106,3,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,27.73,0.76,0.06,1.4660,,,,
Mungo,MU4,Exclude_All,19.00,64.45,3.91,14.84,10.94,11,10,6,1,3,106,3,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,37.03,0.94,0.07,1.4281,,,,
Mungo,MU4,Control,1.63,47.38,39.83,0.00,7.27,3,2,1,0,1,106,3,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,21.04,0.44,0.03,1.5393,,,,
Mungo,MU4,Rabbit_Exclusion,3.75,65.13,13.49,0.33,10.86,6,5,3,0,2,106,3,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,27.25,0.73,0.06,1.4456,,,,
Mungo,MU5,Kangaroo_Exclusion,24.25,24.87,23.56,0.26,1.57,7,7,4,1,2,105,4,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,24.65,0.66,0.06,1.5630,,,,
Mungo,MU5,Exclude_All,22.75,27.81,3.93,29.49,2.53,11,11,6,2,3,105,4,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,25.12,0.56,0.05,1.6165,,,,
Mungo,MU5,Control,18.63,6.89,41.32,0.00,0.28,4,4,1,1,2,105,4,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,15.11,0.66,0.06,1.4693,,,,
Mungo,MU5,Rabbit_Exclusion,32.75,30.45,25.97,0.00,0.30,4,4,2,0,2,105,4,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,13.59,0.68,0.06,1.2798,,,,
Mungo,MU6,Kangaroo_Exclusion,25.75,31.29,3.23,1.29,34.52,11,11,9,1,1,82,0,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,9.19,1.62,0.10,0.9737,,,,
Mungo,MU6,Exclude_All,22.50,34.83,2.07,1.03,36.90,13,13,11,1,1,82,0,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,5.93,1.51,0.09,1.2153,,,,
